algorithm,nodes_count,active_nodes,failed_nodes,packet_loss_probability,node_failure_probability,duration_ms,coverage_active_pct,coverage_total_pct,messages_sent,packets_lost,failed_deliveries,duplicates,rounds,p95_delivery_ms,scenario,repeat
Single Cast,200,200,0,0.0,0.0,3.362109,100.0,100.0,199,0,0,0,1,3.0254967868772153,S0: идеальная сеть,1
Single Cast,200,200,0,0.0,0.0,3.5514,100.0,100.0,199,0,0,0,1,3.095896739633961,S0: идеальная сеть,2
Single Cast,200,200,0,0.0,0.0,3.432303,100.0,100.0,199,0,0,0,1,3.099773090253856,S0: идеальная сеть,3
Single Cast,200,200,0,0.0,0.0,3.32645,100.0,100.0,199,0,0,0,1,3.0898810387419875,S0: идеальная сеть,4
Single Cast,200,200,0,0.0,0.0,3.45785,100.0,100.0,199,0,0,0,1,3.0909908587631056,S0: идеальная сеть,5
Single Cast,200,200,0,0.0,0.0,3.435334,100.0,100.0,199,0,0,0,1,3.0790566598478852,S0: идеальная сеть,6
Single Cast,200,200,0,0.0,0.0,3.504031,100.0,100.0,199,0,0,0,1,3.0819009974797646,S0: идеальная сеть,7
Single Cast,200,200,0,0.0,0.0,3.428542,100.0,100.0,199,0,0,0,1,3.0698920995125025,S0: идеальная сеть,8
Single Cast,200,200,0,0.0,0.0,3.499013,100.0,100.0,199,0,0,0,1,3.1001126918701996,S0: идеальная сеть,9
Single Cast,200,200,0,0.0,0.0,3.576111,100.0,100.0,199,0,0,0,1,3.1717543891638815,S0: идеальная сеть,10
Hierarchical Multicast,200,200,0,0.0,0.0,3.932582,100.0,100.0,199,0,0,0,2,3.6330270981265036,S0: идеальная сеть,1
Hierarchical Multicast,200,200,0,0.0,0.0,4.098541,100.0,100.0,199,0,0,0,2,3.6133168128255906,S0: идеальная сеть,2
Hierarchical Multicast,200,200,0,0.0,0.0,3.998079,100.0,100.0,199,0,0,0,2,3.7056396453603866,S0: идеальная сеть,3
Hierarchical Multicast,200,200,0,0.0,0.0,3.923272,100.0,100.0,199,0,0,0,2,3.6993111552452174,S0: идеальная сеть,4
Hierarchical Multicast,200,200,0,0.0,0.0,3.914766,100.0,100.0,199,0,0,0,2,3.6002444627147505,S0: идеальная сеть,5
Hierarchical Multicast,200,200,0,0.0,0.0,3.996027,100.0,100.0,199,0,0,0,2,3.671692939675647,S0: идеальная сеть,6
Hierarchical Multicast,200,200,0,0.0,0.0,4.047751,100.0,100.0,199,0,0,0,2,3.7375488137178405,S0: идеальная сеть,7
Hierarchical Multicast,200,200,0,0.0,0.0,4.018418,100.0,100.0,199,0,0,0,2,3.6597680336412637,S0: идеальная сеть,8
Hierarchical Multicast,200,200,0,0.0,0.0,4.069706,100.0,100.0,199,0,0,0,2,3.614608572261875,S0: идеальная сеть,9
Hierarchical Multicast,200,200,0,0.0,0.0,3.932821,100.0,100.0,199,0,0,0,2,3.5220306063595332,S0: идеальная сеть,10
Broadcast Flooding,200,200,0,0.0,0.0,2.408103,100.0,100.0,39601,0,0,39402,200,2.1074138540947835,S0: идеальная сеть,1
Broadcast Flooding,200,200,0,0.0,0.0,2.389021,100.0,100.0,39601,0,0,39402,200,2.224874830512441,S0: идеальная сеть,2
