scenario,algorithm,nodes_count,packet_loss_probability,node_failure_probability,active_nodes,failed_nodes,duration_ms,coverage_active_pct,coverage_total_pct,messages_sent,packets_lost,failed_deliveries,duplicates,rounds,p95_delivery_ms
S0: идеальная сеть,Single Cast,200,0.0,0.0,200.0,0.0,3.4573143,100.0,100.0,199.0,0.0,0.0,0.0,1.0,3.090475535214436
S0: идеальная сеть,Hierarchical Multicast,200,0.0,0.0,200.0,0.0,3.9931963,100.0,100.0,199.0,0.0,0.0,0.0,2.0,3.6457188139928602
S0: идеальная сеть,Broadcast Flooding,200,0.0,0.0,200.0,0.0,2.4403555,100.0,100.0,39601.0,0.0,0.0,39402.0,200.0,2.235656977429575
S0: идеальная сеть,Gossip Push,200,0.0,0.0,200.0,0.0,30.5,100.0,100.0,1273.8,0.0,0.0,1074.8,6.1,27.66375160714814
S0: идеальная сеть,Adaptive Gossip Push-Pull,200,0.0,0.0,200.0,0.0,14.5,100.0,100.0,2519.0,0.0,0.0,0.0,2.9,14.074025640600633
S0: идеальная сеть,Hybrid Multicast-Gossip,200,0.0,0.0,200.0,0.0,8.9931963,100.0,100.0,599.0,0.0,0.0,400.0,3.0,3.6457188139928602
S1: потеря пакетов 10%,Single Cast,200,0.1,0.0,200.0,0.0,3.4856925000000003,89.3,89.3,199.0,21.4,0.0,0.0,1.0,3.111544548488879
S1: потеря пакетов 10%,Hierarchical Multicast,200,0.1,0.0,200.0,0.0,3.9593784,81.2,81.2,180.0,18.6,0.0,0.0,2.0,3.6331446342584797
S1: потеря пакетов 10%,Broadcast Flooding,200,0.1,0.0,200.0,0.0,2.5349173,100.0,100.0,39601.0,3969.9,0.0,35432.1,200.0,2.3110447702252754
S1: потеря пакетов 10%,Gossip Push,200,0.1,0.0,200.0,0.0,33.0,100.0,100.0,1465.2,143.0,0.0,1123.2,6.6,31.074501201657604
S1: потеря пакетов 10%,Adaptive Gossip Push-Pull,200,0.1,0.0,200.0,0.0,18.5,100.0,100.0,3341.3,329.7,0.0,0.0,3.7,16.73172718522723
S1: потеря пакетов 10%,Hybrid Multicast-Gossip,200,0.1,0.0,200.0,0.0,18.9593784,100.0,100.0,1283.0,132.2,0.0,951.8,5.0,11.934183295345319
"S2: потеря 20%, отказ 10%",Single Cast,200,0.2,0.1,180.0,20.0,3.3770596,80.33333333333334,72.3,199.0,35.4,20.0,0.0,1.0,3.104986644729141
"S2: потеря 20%, отказ 10%",Hierarchical Multicast,200,0.2,0.1,180.0,20.0,3.7847045,59.94444444444444,53.95,150.1,27.5,15.7,0.0,2.0,3.5760611493786305
"S2: потеря 20%, отказ 10%",Broadcast Flooding,200,0.2,0.1,180.0,20.0,2.6059397,100.0,90.0,35641.0,6402.3,3600.0,25459.7,180.0,2.382947147409741
"S2: потеря 20%, отказ 10%",Gossip Push,200,0.2,0.1,180.0,20.0,39.0,100.0,90.0,1695.0,305.4,162.4,1048.2,7.8,33.081039397239834
"S2: потеря 20%, отказ 10%",Adaptive Gossip Push-Pull,200,0.2,0.1,180.0,20.0,24.5,100.0,90.0,4142.3,828.9,0.0,0.0,4.9,19.625934174838054
"S2: потеря 20%, отказ 10%",Hybrid Multicast-Gossip,200,0.2,0.1,180.0,20.0,24.284704499999997,100.0,90.0,1396.9,246.4,137.8,833.7,6.1,16.836228711998434
"S3: потеря 30%, отказ 20%",Single Cast,200,0.3,0.2,160.0,40.0,3.4480739999999996,68.6875,54.95,199.0,50.1,40.0,0.0,1.0,3.1035457790946297
"S3: потеря 30%, отказ 20%",Hierarchical Multicast,200,0.3,0.2,160.0,40.0,3.6609496999999998,37.375,29.9,106.6,26.2,21.6,0.0,2.0,3.475705883476077
"S3: потеря 30%, отказ 20%",Broadcast Flooding,200,0.3,0.2,160.0,40.0,2.8098222,100.0,80.0,31681.0,7611.4,6400.0,17510.6,160.0,2.572165995043874
"S3: потеря 30%, отказ 20%",Gossip Push,200,0.3,0.2,160.0,40.0,44.5,100.0,80.0,1689.9,400.0,344.2,786.7,8.9,38.56387639593506
"S3: потеря 30%, отказ 20%",Adaptive Gossip Push-Pull,200,0.3,0.2,160.0,40.0,34.5,100.0,80.0,5312.5,1592.5,0.0,0.0,6.9,25.620651561326888
"S3: потеря 30%, отказ 20%",Hybrid Multicast-Gossip,200,0.3,0.2,160.0,40.0,36.6609497,100.0,80.0,1770.8,424.0,359.7,828.1,8.6,24.62880994240489
